country,tax,pop,fdi,fdi/billion,gdp,gdp/billion,rating,class,ff
Argentina,30,45606,6663062112,6.663062112,1.04E+12,1035.4,28.3,Upper Middle,60
Australia,30,25788,40498920290,40.49892029,1.35E+12,1353.98,48.4,High,90
Bahrain,0,1748,941755319,0.941755319,77139267899,77.1392679,28.4,High,80
Botswana,22,2397,260928017,0.260928017,42739922025,42.73992203,25.4,Upper Middle,70
Brazil,34,213993,69174151370,69.17415137,3.23E+12,3229.06,31.9,Upper Middle,50
Brunei,19,442,373256767,0.373256767,28097514783,28.09751478,29.8,High,50
Bulgaria,10,6897,1643900000,1.6439,1.77E+11,176.571,40,Upper Middle,60
Canada,15,38068,45087716090,45.08771609,1.94E+12,1942.2,52.3,High,80
Chile,25,19212,11928369565,11.92836957,5.12E+11,511.748,33.9,High,70
China,25,1444216,1.56E+11,155.815,2.35E+13,23487.8,53.3,Upper Middle,20
Croatia,18,4082,1170052265,1.170052265,1.27E+11,126.625,37.3,High,60
Czech Republic,19,10725,9332858121,9.332858121,4.73E+11,472.625,48.3,High,80
Egypt,23,104258,9010100000,9.0101,1.23E+12,1233.15,24.2,Lower Middle,50
Estonia,20,1325,2962634486,2.962634486,53045342275,53.04534228,48.3,High,70
Finland,20,5548,15768223069,15.76822307,2.94E+11,293.524,57,High,80
France,34,65426,51038713851,51.03871385,3.42E+12,3419.58,53.7,High,70
Germany,16,83900,72211216446,72.21121645,4.78E+12,4782.66,56.6,High,70
Greece,29,10371,4999635990,4.99963599,3.48E+11,348.349,36.8,High,50
Hungary,9,9634,32049970433,32.04997043,3.42E+11,341.619,41.5,High,70
India,48,1393409,50610647354,50.61064735,9.56E+12,9560.22,35.6,Lower Middle,40
Indonesia,25,276362,24993551748,24.99355175,3.34E+12,3338.14,26.5,Lower Middle,60
Israel,23,8790,19047100000,19.0471,3.88E+11,388.367,53.6,High,70
Italy,24,60367,31192029026,31.19202903,2.76E+12,2756.95,45.7,High,50
Jamaica,25,2973,665415555,0.665415555,30053192134,30.05319213,29.1,Upper Middle,50
Japan,23,126051,36280892672,36.28089267,5.50E+12,5504.33,52.7,High,60
Kenya,30,54986,1332436904,1.332436904,2.38E+11,237.712,26.1,Lower Middle,50
Latvia,20,1867,1059246101,1.059246101,63161816357,63.16181636,41.1,High,60
Lithuania,15,2690,1573981541,1.573981541,1.12E+11,111.519,39.2,High,70
Malaysia,24,32776,9101052111,9.101052111,9.46E+11,946.342,42.4,Upper Middle,50
Malta,35,443,4115026656,4.115026656,23915323452,23.91532345,46.4,High,60
Mauritius,15,1273,472302807,0.472302807,30228158502,30.2281585,34.4,Upper Middle,70
Mexico,30,130262,29353967205,29.35396721,2.67E+12,2671.95,33.6,Upper Middle,60
Netherlands,25,17173,35689139761,35.68913976,1.06E+12,1062.24,58.8,High,80
New Zealand,28,4861,2943285693,2.943285693,2.23E+11,223.144,47,High,80
Nigeria,30,211401,3299085483,3.299085483,1.08E+12,1077.72,20.1,Lower Middle,40
Norway,23,5466,12734728527,12.73472853,3.74E+11,374.384,49.3,High,60
Oman,15,5223,3419765930,3.41976593,1.42E+11,141.824,26.5,High,60
Panama,25,4382,5891326086,5.891326086,1.39E+11,139.499,29,High,70
Paraguay,10,7220,596238194,0.596238194,93316501354,93.31650135,24.1,Upper Middle,60
Peru,30,33359,8891912446,8.891912446,4.36E+11,436.174,28.8,Upper Middle,60
Poland,19,37797,14399000000,14.399,1.34E+12,1335.25,40,High,70
Portugal,30,10168,8270971798,8.270971798,3.89E+11,389.4,43.5,High,60
Romania,16,19128,7365441774,7.365441774,6.45E+11,645.346,36,Upper Middle,50
Russia,20,145912,31974770000,31.97477,4.43E+12,4433.09,35.6,Upper Middle,30
Senegal,30,17196,983338154,0.983338154,57772245556,57.77224556,23.8,Lower Middle,40
Serbia,15,8698,4268709250,4.26870925,1.35E+11,135.393,34.3,Upper Middle,50
Singapore,17,5897,1.05E+11,105.466,5.80E+11,579.763,56.6,High,80
Slovenia,19,2079,1709955186,1.709955186,88594050470,88.59405047,42.9,High,50
South Africa,28,60042,4624502604,4.624502604,7.63E+11,763.258,32.7,Upper Middle,50
Spain,25,46745,14813334470,14.81333447,2.05E+12,2047.65,45.6,High,70
Sweden,22,10160,16836299507,16.83629951,5.82E+11,582.487,62.5,High,80
Switzerland,9,8715,37313310481,37.31331048,6.21E+11,620.612,66.1,High,90
Thailand,20,69951,4816635832,4.816635832,1.34E+12,1342.17,36.7,Upper Middle,60
Turkey,22,85043,9266000000,9.266,2.35E+12,2347.13,34.9,Upper Middle,60
United Arab Emirates,0,9991,13787465940,13.78746594,6.85E+11,684.81,42.4,High,60
United Kingdom,19,68207,2236675458,2.236675458,3.34E+12,3337.15,59.8,High,80
United States,21,332915,3.52E+11,351.631,2.14E+13,21433.2,60.6,High,80
Uruguay,25,3485,1189230715,1.189230715,77941611168,77.94161117,30.8,High,30
Vietnam,20,98169,16120000000,16.12,8.10E+11,809.994,37.1,Lower Middle,50